MsgID.GLOBAL_POSITION,1522176675.9849880,-122.3974481,37.7924812,0.2230000
MsgID.LOCAL_VELOCITY,1522176675.9849880,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176675.9852250,0.1368701,0.1677837,-0.2232193
MsgID.LOCAL_VELOCITY,1522176675.9852250,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522176675.9853921,-122.3974483,37.7924816,0.2470000
MsgID.LOCAL_VELOCITY,1522176675.9853921,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176675.9855418,0.1877502,0.1441791,-0.2478202
MsgID.LOCAL_VELOCITY,1522176675.9855418,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1522176675.9858451,False,False
MsgID.GLOBAL_HOME,1522176675.9862881,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522176675.9864409,-122.3974484,37.7924808,0.2610000
MsgID.LOCAL_VELOCITY,1522176675.9864409,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176675.9866021,0.0947544,0.1384053,-0.2618125
MsgID.LOCAL_VELOCITY,1522176675.9866021,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522176675.9875150,-122.3974500,37.7924788,0.2620000
MsgID.LOCAL_VELOCITY,1522176675.9875150,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176675.9877582,-0.1268844,-0.0039966,-0.2628509
MsgID.LOCAL_VELOCITY,1522176675.9877582,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522176676.2376890,-122.3974510,37.7924802,0.2500000
MsgID.LOCAL_VELOCITY,1522176676.2376890,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176676.2378900,0.0236824,-0.0967962,-0.2507007
MsgID.LOCAL_VELOCITY,1522176676.2378900,-0.0000034,0.0000100,0.0000129
MsgID.GLOBAL_POSITION,1522176676.4878700,-122.3974483,37.7924813,0.2270000
MsgID.LOCAL_VELOCITY,1522176676.4878700,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176676.4881020,0.1537093,0.1467848,-0.2274231
MsgID.LOCAL_VELOCITY,1522176676.4881020,-0.0000270,-0.0000272,0.0000128
MsgID.STATE,1522176676.7323780,True,True
MsgID.GLOBAL_HOME,1522176676.9755170,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522176676.9756610,-122.3974499,37.7924814,0.1970000
MsgID.LOCAL_VELOCITY,1522176676.9756610,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176676.9758239,0.1574618,0.0033021,-0.1973188
MsgID.LOCAL_VELOCITY,1522176676.9758239,0.0000114,0.0000026,0.0000141
